Company Name,Country,Europages URL,Company Website URL
COSMOS TEXTIL TRADING,Spain,https://www.europages.co.uk/COSMOS-TEXTIL-TRADING/00000005527011-001.html,https://cosmostextil.com/start/
MINOTI,Poland,https://www.europages.co.uk/MINOTI/00000005514185-001.html,https://www.b2b.minoti.com
TUMODAKIDS S.L.,Spain,https://www.europages.co.uk/TUMODAKIDS-SL/00000004560603-001.html,https://www.tumodabebe.com
PROTEGG CONFECAO,Portugal,https://www.europages.co.uk/PROTEGG-CONFECAO/00000005549780-001.html,https://www.proteggfactory.com
KIDDYSTORES,France,https://www.europages.co.uk/KIDDYSTORES/00000003902113-191369001.html,https://www.kiddystores.fr/
STYLE SRL,Italy,https://www.europages.co.uk/STYLE-SRL/00000005553245-001.html,https://www.styleferrara.it
GS7 CO.,Bulgaria,https://www.europages.co.uk/GS7-CO/00000005449388-790690001.html,https://gs7.bg/
FRIPEIN STORE UNITED,France,https://www.europages.co.uk/FRIPEIN-STORE-UNITED/00000005532364-001.html,https://fripeinstoreunited.fr/
"MANTONI - FASHION DESIGN AND GARMENT DEVELOPMENT, EUROPEAN PRIVATE LABEL CLOTHING MANUFACTURER",Poland,https://www.europages.co.uk/MANTONI-FASHION-DESIGN-AND-GARMENT-DEVELOPMENT-EUROPEAN-PRIVATE-LABEL-CLOTHING-MANUFACTURER/POL112207-00101.html,https://en.mantoni.pl/
COTE SPORT,France,https://www.europages.co.uk/COTE-SPORT/FRA595835-00101.html,https://www.cotesport.net/
"BLACK MODA PORTUGAL, LDA",Portugal,https://www.europages.co.uk/BLACK-MODA-PORTUGAL-LDA/00000005512137-001.html,https://www.blackmoda.fi
FIRMA ZALEWSKI-ANDER ANDRZEJ ZALEWSKI,Poland,https://www.europages.co.uk/FIRMA-ZALEWSKIANDER-ANDRZEJ-ZALEWSKI/00000005499289-001.html,https://www.ander.pl
ALL OVER FASHION,Turkey,https://www.europages.co.uk/ALL-OVER-FASHION/00000005553727-001.html,http://www.alloverfashion.com.tr/
NAUGHTY KID CONFECÇÕES LDA,Portugal,https://www.europages.co.uk/NAUGHTY-KID-CONFECCOES-LDA/00000005499401-001.html,https://piccolasperanza.com/
VBIKESTORE.IT,Italy,https://www.europages.co.uk/en/company/vbikestoreit-22286105,https://www.vbikestore.it/it/
"SOMANI - SOCIEDADE TEXTIL, S.A.",Portugal,https://www.europages.co.uk/SOMANI-SOCIEDADE-TEXTIL-SA/PRT014732-00101.html,http://www.somani.pt
SHELDON INTERNATIONAL,United Kingdom,https://www.europages.co.uk/SHELDON-INTERNATIONAL/00000003649467-287100001.html,https://www.sheldonplc.co.uk
AMERICAN STUFF,Italy,https://www.europages.co.uk/AMERICAN-STUFF/SEAC000482901-001.html,http://www.abitiusatiprato.it
"F.S. CONFECÇÕES, LDA",Portugal,https://www.europages.co.uk/FS-CONFECCOES-LDA/00000003648871-95340001.html,https://fs-baby.com/
NOVATEX,France,https://www.europages.co.uk/NOVATEX/00000005519743-001.html,https://pro.troiskilossept.com/#utm_source=Europages&utm_medium=E-page&utm_campaign=btob
