Company Name,Country,Europages URL,Company Website URL
JOAO & FELICIANO,Portugal,https://www.europages.co.uk/JOAO-FELICIANO/PRT043178-00101.html,http://www.joaofeliciano.pt/pt/
FAITH LOVE UNIPESSOAL LDA,Portugal,https://www.europages.co.uk/FAITH-LOVE-UNIPESSOAL-LDA/00000005548485-001.html,https://faithlove.pt/#in%c3%adcio
SOCOMAGE - CUSTOM MADE TEXTILES,Portugal,https://www.europages.co.uk/SOCOMAGE-CUSTOM-MADE-TEXTILES/PRT035007-00101.html,https://www.socomage.pt/?lang=en
Gonzaga Export S L,Spain,https://www.europages.co.uk/en/company/gonzaga-export-s-l-22287600,https://gonzaga.es/
EMBRO GMBH,Germany,https://www.europages.co.uk/EMBRO-GMBH/00000005286117-001.html,https://embro-tech.com/en/technical-embroidery/
GEBETEX TRI NORMANDIE,France,https://www.europages.co.uk/GEBETEX-TRI-NORMANDIE/00000004728501-527262001.html,https://www.gebetextrinormandie.fr/
FRAMIMEX,France,https://www.europages.co.uk/FRAMIMEX/00000005543165-001.html,https://www.framimex.com/
Bimeco Garnhandel GmbH und Co. KG,Germany,https://www.europages.co.uk/en/company/bimeco-garnhandel-gmbh-und-co-kg-22289050,https://bimeco.de/
NIKOPLEX CO.,Greece,https://www.europages.co.uk/NIKOPLEX-CO/00000003657299-96447001.html,http://www.nikoplex.gr
IZOL PACK,Turkey,https://www.europages.co.uk/IZOL-PACK/00000003901361-188892001.html,http://www.izolpack.com
FRANC-TEXTIL SP. Z O.O.,Poland,https://www.europages.co.uk/FRANCTEXTIL-SP-Z-OO/00000003999995-270607001.html,https://www.franctextil.pl/
Serusa & iSSeymen Tekstil San. Tic. Ltd.,Turkey,https://www.europages.co.uk/en/company/serusa-isseymen-tekstil-san-tic-ltd-22315531,https://www.isseymen.com/
LIMEKS INTERNATIONAL,Turkey,https://www.europages.co.uk/LIMEKS-INTERNATIONAL/00000005550221-001.html,https://www.limeks.com
ENOL FOLIEN GMBH,Germany,https://www.europages.co.uk/ENOL-FOLIEN-GMBH/00000004591750-409995001.html,https://www.enol-verpackungen.com/
SALZMANN RESTWAREN GMBH,Germany,https://www.europages.co.uk/SALZMANN-RESTWAREN-GMBH/00000005506703-001.html,https://salzmann-restwaren.de/
AMIRATEX,France,https://www.europages.co.uk/AMIRATEX/00000005333110-630669001.html,https://www.amiratex-france.com/export/
MAIER-UNITAS GMBH,Germany,https://www.europages.co.uk/MAIERUNITAS-GMBH/00000005313976-001.html,https://maier-unitas.de/en/
FRIPEIN STORE UNITED,France,https://www.europages.co.uk/FRIPEIN-STORE-UNITED/00000005532364-001.html,https://fripeinstoreunited.fr/
JAWOTEX,Poland,https://www.europages.co.uk/JAWOTEX/00000005523910-001.html,https://www.jawotex.pl
SPANDAUER VELOURS GMBH & CO. KG,Germany,https://www.europages.co.uk/SPANDAUER-VELOURS-GMBH-CO-KG/DEU482277-00101.html,https://spandauer-velours.de/en/spandauer-velours-en/
